state,name,localid,year,et,eu,es,e4,e3,e2,e1
MA,abington,00010000,2013,NA,NA,NA,NA,NA,NA,NA
MA,abington,00010000,2014,134,-620687,0,16,106,6,1
MA,abington,00010000,2015,124,-620697,0,18,100,3,1
MA,abington,00010000,2016,131,-620690,NA,NA,NA,NA,NA
MA,abington,00010000,2017,130,-620691,NA,NA,NA,NA,NA
MA,abington,00010000,2018,124,-620697,NA,NA,NA,NA,NA
MA,acton,00020000,2013,NA,NA,NA,NA,NA,NA,NA
MA,acton,00020000,2014,151,-620670,0,4,78,1,0
MA,acushnet,00030000,2013,67,-620754,NA,NA,NA,NA,NA
MA,acushnet,00030000,2014,67,-620754,NA,NA,NA,NA,NA
MA,acushnet,00030000,2015,69,-620752,NA,NA,NA,NA,NA
MA,acushnet,00030000,2016,70,-620751,NA,NA,NA,NA,NA
MA,acushnet,00030000,2017,73,-620748,NA,NA,NA,NA,NA
MA,acushnet,00030000,2018,70,-620751,NA,NA,NA,NA,NA
MA,agawam,00050000,2013,302,-620519,NA,NA,NA,NA,NA
MA,agawam,00050000,2014,317,-620504,0,17,296,4,0
MA,agawam,00050000,2015,323,-620498,0,39,284,0,0
MA,agawam,00050000,2016,318,-620503,0,25,289,4,0
MA,agawam,00050000,2017,325,-620496,0,26,299,0,0
MA,agawam,00050000,2018,332,-620489,0,37,294,1,0
MA,amesbury,00070000,2013,162,-620659,NA,NA,NA,NA,NA
MA,amesbury,00070000,2014,163,-620658,0,5,155,2,0
MA,amesbury,00070000,2015,161,-620660,0,4,150,3,0
MA,amesbury,00070000,2016,171,-620650,0,31,103,3,0
MA,amesbury,00070000,2017,173,-620648,0,28,137,6,0
MA,amesbury,00070000,2018,167,-620654,0,37,123,7,0
MA,amherst,00080000,2013,120,-620701,0,5,49,6,0
MA,amherst,00080000,2014,117,-620704,0,13,100,2,0
MA,amherst,00080000,2015,118,-620703,0,13,100,0,0
MA,amherst,00080000,2016,125,-620696,0,18,102,3,0
MA,amherst,00080000,2017,121,-620700,0,16,94,6,0
MA,amherst,00080000,2018,125,-620696,0,27,88,4,1
MA,andover,00090000,2013,NA,NA,NA,NA,NA,NA,NA
MA,andover,00090000,2014,476,-620345,NA,NA,NA,NA,NA
MA,andover,00090000,2015,476,-620345,0,32,219,7,0
MA,andover,00090000,2016,471,-620350,0,68,319,6,1
MA,andover,00090000,2017,464,-620357,0,84,363,13,1
MA,andover,00090000,2018,475,-620346,0,85,381,9,0
MA,arlington,00100000,2013,NA,NA,NA,NA,NA,NA,NA
MA,arlington,00100000,2014,371,-620450,0,0,321,6,2
MA,arlington,00100000,2015,383,-620438,NA,NA,NA,NA,NA
MA,arlington,00100000,2016,394,-620427,NA,NA,NA,NA,NA
MA,arlington,00100000,2017,409,-620412,NA,NA,NA,NA,NA
MA,arlington,00100000,2018,415,-620406,NA,NA,NA,NA,NA
MA,ashland,00140000,2013,176,-620645,NA,NA,NA,NA,NA
MA,ashland,00140000,2014,181,-620640,NA,NA,NA,NA,NA
MA,ashland,00140000,2015,188,-620633,0,40,142,4,0
MA,ashland,00140000,2016,190,-620631,NA,NA,NA,NA,NA
MA,ashland,00140000,2017,191,-620630,0,27,163,0,1
MA,ashland,00140000,2018,202,-620619,0,32,166,3,0
MA,attleboro,00160000,2013,406,-620415,NA,NA,NA,NA,NA
MA,attleboro,00160000,2014,376,-620445,0,24,343,7,1
MA,attleboro,00160000,2015,389,-620432,0,31,343,15,0
MA,attleboro,00160000,2016,397,-620424,0,26,361,9,1
MA,attleboro,00160000,2017,378,-620443,0,30,336,6,0
MA,attleboro,00160000,2018,384,-620437,NA,NA,NA,NA,NA
MA,auburn,00170000,2013,178,-620643,NA,NA,NA,NA,NA
MA,auburn,00170000,2014,179,-620642,0,5,170,2,2
MA,auburn,00170000,2015,182,-620639,0,22,157,2,1
MA,auburn,00170000,2016,181,-620640,0,8,170,2,1
MA,auburn,00170000,2017,186,-620635,0,7,175,4,0
MA,auburn,00170000,2018,189,-620632,0,14,170,3,2
MA,avon,00180000,2013,66,-620755,NA,NA,NA,NA,NA
MA,avon,00180000,2014,63,-620758,NA,NA,NA,NA,NA
MA,avon,00180000,2015,66,-620755,NA,NA,NA,NA,NA
MA,avon,00180000,2016,66,-620755,NA,NA,NA,NA,NA
MA,avon,00180000,2017,66,-620755,NA,NA,NA,NA,NA
MA,avon,00180000,2018,68,-620753,NA,NA,NA,NA,NA
MA,barnstable,00200000,2013,388,-620433,0,19,339,18,0
MA,barnstable,00200000,2014,387,-620434,0,28,337,7,0
MA,barnstable,00200000,2015,383,-620438,0,31,326,8,2
MA,barnstable,00200000,2016,386,-620435,0,56,309,9,0
MA,barnstable,00200000,2017,386,-620435,0,67,289,13,1
MA,barnstable,00200000,2018,381,-620440,0,70,291,4,1
MA,bedford,00230000,2013,215,-620606,NA,NA,NA,NA,NA
