name,year,e1,e2,e3,e4,e5
ABQ SCHOOL OF EXCELLENCE,2014,1,6,10,0,0
ABQ SCHOOL OF EXCELLENCE,2015,1,7,14,0,0
ABQ SCHOOL OF EXCELLENCE,2016,0,5,12,5,0
ABQ SCHOOL OF EXCELLENCE,2017,0,9,13,7,0
ABQ SCHOOL OF EXCELLENCE,2018,3,5,10,10,1
ABQ SIGN LANGUAGE ACADEMY,2014,0,8,1,0,0
ABQ SIGN LANGUAGE ACADEMY,2015,0,3,8,0,1
ABQ SIGN LANGUAGE ACADEMY,2016,0,1,8,1,0
ABQ SIGN LANGUAGE ACADEMY,2017,0,2,7,2,0
ABQ SIGN LANGUAGE ACADEMY,2018,0,2,5,4,0
ACADEMY OF TRADES AND TECH,2014,0,3,3,0,0
ACADEMY OF TRADES AND TECH,2015,0,5,3,0,0
ACADEMY OF TRADES AND TECH,2016,1,3,1,0,0
ACADEMY OF TRADES AND TECH,2017,3,2,1,0,1
ACADEMY OF TRADES AND TECH,2018,1,4,1,0,0
ACE LEADERSHIP HIGH SCHOOL,2014,0,2,4,0,0
ACE LEADERSHIP HIGH SCHOOL,2015,0,6,7,1,0
ACE LEADERSHIP HIGH SCHOOL,2016,3,4,8,1,0
ACE LEADERSHIP HIGH SCHOOL,2017,0,4,12,4,0
ACE LEADERSHIP HIGH SCHOOL,2018,1,1,13,2,0
ALAMOGORDO,2014,5,88,207,36,9
ALAMOGORDO,2015,2,63,179,92,7
ALAMOGORDO,2016,12,92,132,82,15
ALAMOGORDO,2017,6,85,146,73,28
ALAMOGORDO,2018,3,68,128,89,24
ALBUQUERQUE,2014,89,941,3330,1386,75
ALBUQUERQUE,2015,284,1320,2618,1534,147
ALBUQUERQUE,2016,310,1533,2366,1381,176
ALBUQUERQUE,2017,177,1356,2534,1503,211
ALBUQUERQUE,2018,171,1292,2400,1386,192
ALBUQUERQUE INSTITUTE OF MATH & SCIENCE,2014,0,2,7,8,0
ALBUQUERQUE INSTITUTE OF MATH & SCIENCE,2015,1,6,10,2,0
ALBUQUERQUE INSTITUTE OF MATH & SCIENCE,2016,0,7,7,6,0
ALBUQUERQUE INSTITUTE OF MATH & SCIENCE,2017,2,7,5,6,0
ALBUQUERQUE INSTITUTE OF MATH & SCIENCE,2018,0,4,7,6,0
ALDO LEOPOLD CHARTER,2014,0,2,5,5,0
ALDO LEOPOLD CHARTER,2015,0,1,5,7,0
ALDO LEOPOLD CHARTER,2016,0,3,4,7,0
ALDO LEOPOLD CHARTER,2017,0,4,5,7,0
ALDO LEOPOLD CHARTER,2018,0,4,6,5,1
ALMA D'ARTE CHARTER,2014,0,1,5,5,0
ALMA D'ARTE CHARTER,2015,0,0,3,15,0
ALMA D'ARTE CHARTER,2016,0,2,5,6,3
ALMA D'ARTE CHARTER,2017,0,1,2,10,2
ALMA D'ARTE CHARTER,2018,0,0,7,8,2
AMY BIEHL CHARTER HIGH SCHOOL,2014,0,0,15,8,0
AMY BIEHL CHARTER HIGH SCHOOL,2015,0,1,7,16,0
AMY BIEHL CHARTER HIGH SCHOOL,2016,0,1,10,16,1
AMY BIEHL CHARTER HIGH SCHOOL,2017,0,1,7,15,4
AMY BIEHL CHARTER HIGH SCHOOL,2018,0,1,7,13,5
ANIMAS,2014,0,3,12,2,0
ANIMAS,2015,0,2,8,5,0
ANIMAS,2016,0,1,5,5,3
ANIMAS,2017,0,3,4,8,0
ANIMAS,2018,0,2,5,7,0
ANTHONY CHARTER SCHOOL,2014,1,2,2,0,0
ANTHONY CHARTER SCHOOL,2015,0,0,6,0,0
ANTHONY CHARTER SCHOOL,2016,1,1,2,2,0
ANTHONY CHARTER SCHOOL,2017,1,3,4,1,0
ANTHONY CHARTER SCHOOL,2018,2,2,2,0,0
ARTESIA,2014,3,40,155,24,0
ARTESIA,2015,10,63,140,44,0
ARTESIA,2016,4,48,147,63,1
ARTESIA,2017,1,32,126,84,5
ARTESIA,2018,1,27,115,91,10
AZTEC,2014,0,26,128,52,4
AZTEC,2015,1,43,101,62,4
AZTEC,2016,7,35,101,45,10
AZTEC,2017,6,44,80,54,13
AZTEC,2018,2,38,78,38,17
BELEN,2014,5,63,171,17,0
BELEN,2015,5,92,127,21,3
BELEN,2016,19,69,101,54,2
BELEN,2017,11,74,98,56,4
BELEN,2018,8,50,95,53,14
BERNALILLO,2014,6,47,110,40,2
BERNALILLO,2015,8,51,111,45,2
BERNALILLO,2016,17,45,90,51,14
BERNALILLO,2017,13,65,89,42,7
BERNALILLO,2018,9,64,75,56,6
BLOOMFIELD,2014,4,51,114,18,2
BLOOMFIELD,2015,4,50,89,35,3
BLOOMFIELD,2016,14,42,99,34,6
BLOOMFIELD,2017,9,46,76,44,2
BLOOMFIELD,2018,8,37,73,38,4
CAPITAN,2014,1,3,18,15,3
CAPITAN,2015,0,7,14,13,2
CAPITAN,2016,0,5,9,17,5
CAPITAN,2017,0,3,9,20,4
CAPITAN,2018,0,0,14,15,10
CARINOS DE LOS NINOS,2014,0,0,0,0,0
CARINOS DE LOS NINOS,2015,0,0,0,0,0
CARINOS DE LOS NINOS,2016,0,0,0,0,0
CARINOS DE LOS NINOS,2017,1,1,2,3,0
CARINOS DE LOS NINOS,2018,1,0,2,0,0
CARLSBAD,2014,5,101,223,27,0
CARLSBAD,2015,22,130,150,73,4
CARLSBAD,2016,20,80,151,100,20
CARLSBAD,2017,11,81,144,123,23
CARLSBAD,2018,7,75,156,124,37
CARRIZOZO,2014,0,4,13,0,0
CARRIZOZO,2015,1,7,5,4,0
