state,year,district_name,localid,NCES_leaid,count_teachers,count_not_evaluated,count_suppressed,count_level1,count_level2,count_level3,count_level4,percent_suppressed,percent_level1,percent_level2,percent_level3,percent_level4,impute_level1,impute_level2,impute_level3,impute_level4
CT,2014,andover,001,0900030,31,0,31,0,0,0,0,1,0,0,0,0,FALSE,FALSE,FALSE,FALSE
CT,2015,andover,001,0900030,31,0,31,0,0,0,0,1,0,0,0,0,FALSE,FALSE,FALSE,FALSE
CT,2014,ansonia,002,0900060,168,0,7,0,0,161,0,0.041666666666666664,0,0,0.9583333333333334,0,FALSE,FALSE,FALSE,FALSE
CT,2015,ansonia,002,0900060,199,0,28,0,0,171,0,0.1407035175879397,0,0,0.8592964824120602,0,FALSE,FALSE,FALSE,FALSE
CT,2014,ashford,003,0900090,46,0,1,0,0,11,34,0.021739130434782608,0,0,0.2391304347826087,0.7391304347826086,FALSE,FALSE,FALSE,FALSE
CT,2015,ashford,003,0900090,49,0,0,0,0,8,41,0,0,0,0.16326530612244897,0.8367346938775511,FALSE,FALSE,FALSE,FALSE
CT,2014,avon,004,0900120,279,0,10,0,0,236,33,0.035842293906810034,0,0,0.8458781362007168,0.11827956989247312,FALSE,FALSE,FALSE,FALSE
CT,2015,avon,004,0900120,266,0,223,0,0,43,0,0.8383458646616542,0,0,0.16165413533834586,0,FALSE,FALSE,FALSE,FALSE
CT,2014,berlin,007,0900210,281,0,75,0,0,206,0,0.2669039145907473,0,0,0.7330960854092526,0,FALSE,FALSE,FALSE,FALSE
CT,2015,berlin,007,0900210,298,0,131,0,0,167,0,0.4395973154362416,0,0,0.5604026845637584,0,FALSE,FALSE,FALSE,FALSE
CT,2014,bethany,008,0900240,47,0,4,0,0,15,28,0.0851063829787234,0,0,0.3191489361702128,0.5957446808510638,FALSE,FALSE,FALSE,FALSE
CT,2015,bethany,008,0900240,46,0,0,0,0,17,29,0,0,0,0.3695652173913043,0.6304347826086957,FALSE,FALSE,FALSE,FALSE
CT,2014,bethel,009,0900270,263,0,8,0,0,189,66,0.030418250950570342,0,0,0.7186311787072244,0.2509505703422053,FALSE,FALSE,FALSE,FALSE
CT,2015,bethel,009,0900270,272,0,76,0,0,196,0,0.27941176470588236,0,0,0.7205882352941176,0,FALSE,FALSE,FALSE,FALSE
CT,2014,bloomfield,011,0900330,235,0,41,0,0,0,194,0.17446808510638298,0,0,0,0.825531914893617,FALSE,FALSE,FALSE,FALSE
CT,2015,bloomfield,011,0900330,222,0,0,0,0,16,206,0,0,0,0.07207207207207207,0.9279279279279279,FALSE,FALSE,FALSE,FALSE
